resource.data_updated_at,permalink,resource.id,resource.name,resource.columns_name,column_count,resource.description,resource.download_count,resource.page_views.page_views_last_week
2025-03-14T13:38:29.000Z,https://data.cdc.gov/d/jr58-6ysp,jr58-6ysp,SARS-CoV-2 Variant Proportions,"['variant', 'share_hi', 'nchs_or_count_flag', 'week_ending', 'share', 'time_interval', 'modeltype', 'usa_or_hhsregion', 'share_lo', 'published_date']",10,"To identify and track SARS-CoV-2 variants, CDC uses genomic surveillance. CDC's national genomic surveillance system collects SARS-CoV-2 specimens for sequencing through the National SARS-CoV-2 Strain Surveillance (NS3) program, as well as SARS-CoV-2 sequences generated by commercial or academic laboratories contracted by CDC and state or local public health laboratories. Viral genomic sequences are analyzed and classified as a particular variant. The proportions of variants in a population are estimated nationally, by HHS region, and by jurisdiction. The thousands of sequences analyzed every week through CDC’s national genomic sequencing and bioinformatics efforts fuel this comprehensive and population-based U.S. surveillance system established to identify and monitor the spread of variants.

These data appear on the CDC COVID Data Tracker at the following URL: <a href=""https://covid.cdc.gov/covid-data-tracker/#variant-proportions"">https://covid.cdc.gov/covid-data-tracker/#variant-proportions</a>


For more information on how these data are generated and used to provide estimates of variant proportions, please see the following references:

<ul>
<li>Paul P, France AM, Aoki Y, et al. Genomic Surveillance for SARS-CoV-2 Variants Circulating in the United States, December 2020–May 2021. MMWR Morb Mortal Wkly Rep 2021;70:846–850. DOI: <a href=""http://dx.doi.org/10.15585/mmwr.mm7023a3"">http://dx.doi.org/10.15585/mmwr.mm7023a3</a></li>
<li>Lambrou AS, Shirk P, Steele MK, et al. Genomic Surveillance for SARS-CoV-2 Variants: Predominance of the Delta (B.1.617.2) and Omicron (B.1.1.529) Variants — United States, June 2021–January 2022. MMWR Morb Mortal Wkly Rep 2022;71:206–211. DOI: <a href=""http://dx.doi.org/10.15585/mmwr.mm7106a4"">http://dx.doi.org/10.15585/mmwr.mm7106a4</a></li></ul>",22830,518
2025-02-13T15:02:57.000Z,https://data.cdc.gov/d/dttw-5yxu,dttw-5yxu,Behavioral Risk Factor Surveillance System (BRFSS) Prevalence Data (2011 to present),"['Data_Value_Footnote_Symbol', 'TopicId', 'BreakoutID', 'BreakOutCategoryID', 'GeoLocation (address)', 'DataSource', 'GeoLocation (state)', 'GeoLocation (zip)', 'Data_Value_Footnote', 'Response', 'Confidence_limit_High', 'Data_value_unit', 'ClassId', 'LocationID', 'QuestionID', 'GeoLocation', 'Data_value_type', 'Break_Out', 'Break_Out_Category', 'Confidence_limit_Low', 'ResponseID', 'GeoLocation (city)', 'Year', 'Locationabbr', 'Locationdesc', 'Class', 'Topic', 'Question', 'Sample_Size', 'Data_value', 'Display_order']",31,"2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://data.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct",22815,607
2025-03-01T11:00:26.000Z,https://data.cdc.gov/d/rq85-buyi,rq85-buyi,Monthly Page Views to CDC.gov,"['Year', 'Page Visits', 'Page Views', 'Month', 'Sort']",5,For more information on CDC.gov metrics please see http://www.cdc.gov/metrics/,22290,17
2025-03-25T08:30:12.000Z,https://data.cdc.gov/d/rppv-wbiv,rppv-wbiv,Top syndicated pages from CDC.gov by weekly page views,"['Page Views', 'Week Beginning', 'Content Source URLs']",3,The CDC Content Syndication site at https://tools.cdc.gov/syndication/ allows you to import content from CDC websites directly into your own website or application. These services are provided free of charge from CDC. The data shown in this table represent the weekly top page views from CDC.gov offered by syndication.,21344,4
2025-01-30T23:52:53.000Z,https://data.cdc.gov/d/vba9-s8jp,vba9-s8jp,"Nutrition, Physical Activity, and Obesity - Youth Risk Behavior Surveillance System","['TopicID', 'DataValueTypeID', 'Data_Value_Unit', 'StratificationID1', 'Datasource', 'Data_Value_Alt', 'Low_Confidence_Limit', 'High_Confidence_Limit ', 'Data_Value', 'GeoLocation (address)', 'GeoLocation', 'Race/Ethnicity', 'Sample_Size', 'ClassID', 'Data_Value_Type', 'YearStart', 'Total', 'Sex', 'GeoLocation (zip)', 'LocationAbbr', 'Grade', 'GeoLocation (state)', 'Stratification1', 'Data_Value_Footnote', 'StratificationCategoryId1', 'Question', 'LocationDesc', 'YearEnd', 'GeoLocation (city)', 'Data_Value_Footnote_Symbol', 'StratificationCategory1', 'LocationID', 'QuestionID', 'Topic', 'Class']",35,"This dataset includes data on adolescent's diet, physical activity, and weight status from Youth Risk Behavior Surveillance System (YRBSS). This data is used for DNPAO's Data, Trends, and Maps database, which provides national and state specific data on obesity, nutrition, physical activity, and breastfeeding. For more information about YRBSS visit https://www.cdc.gov/healthyyouth/data/yrbs/index.htm.",17623,47
2025-01-31T00:50:57.000Z,https://data.cdc.gov/d/4yyu-3s69,4yyu-3s69,"Smoking-Attributable Mortality, Morbidity, and Economic Costs (SAMMEC) - Smoking-Attributable Mortality (SAM)","['MeasureDesc', 'TopicType', 'DataSource', 'LocationDesc', 'LocationAbbr', 'Sex', 'SubMeasureID', 'GeoLocation (zip)', 'GeoLocation (city)', 'Data_Value_Footnote', 'Data_Value_Type', 'TopicDesc', 'Year', 'DisplayOrder', 'MeasureID', 'TopicID', 'TopicTypeID', 'GeoLocation (state)', 'GeoLocation (address)', 'GeoLocation', 'Data_Value_Footnote_Symbol', 'Data_Value', 'Data_Value_Unit']",23,"2005-2009. SAMMEC - Smoking-Attributable Mortality, Morbidity, and Economic Costs. Smoking-attributable mortality (SAM) is the number of deaths caused by cigarette smoking based on diseases for which the U.S. Surgeon General has determined that cigarette smoking is a causal factor.",15135,51
2025-03-18T13:21:25.000Z,https://data.cdc.gov/d/76vv-a7x8,76vv-a7x8,NCHS - VSRR Quarterly provisional estimates for selected birth indicators,"['Indicator', 'Race Ethnicity Category', 'Year and Quarter', 'Topic', 'Topic Subgroup', 'Unit', 'Significant', 'Rate']",8,"Provisional estimates of selected reproductive indicators. Estimates are presented for: general fertility rates, age-specific birth rates, total and low risk cesarean delivery rates, preterm birth rates and other gestational age categories.",13949,23
2025-03-11T13:23:48.000Z,https://data.cdc.gov/d/jqwm-z2g9,jqwm-z2g9,NCHS - VSRR Quarterly provisional estimates for infant mortality,"['Footnote', 'Standard Error', 'Year and Quarter', 'Topic', 'Indicator', 'Time Period', 'Footnote Symbol', 'Unit', 'Significant', 'Rate']",10,"Provisional estimates of infant mortality (deaths of infants under 1 year per 1,000 live births), neonatal mortality (deaths of infants aged 0-27 days per 1,000 live births), postneonatal mortality (deaths of infants aged 28 days through 11 months per 1,000 live births), and death rates for the five leading causes of infant death.",13232,13
2025-03-20T17:39:13.000Z,https://data.cdc.gov/d/29hc-w46k,29hc-w46k,Weekly Rates of Laboratory-Confirmed RSV Hospitalizations from the RSV-NET Surveillance System,"['Sex', 'State', 'Type', 'Race', 'Season', 'Week ending date', 'Rate', 'Cumulative Rate', 'Age Category']",9,"The Respiratory Syncytial Virus Hospitalization Surveillance Network (RSV-NET) is a network that conducts active, population-based surveillance for laboratory-confirmed RSV-associated hospitalizations in children younger than 18 years of age and adults. RSV-NET, along with the Coronavirus Disease 2019 (COVID-19) Hospitalization Surveillance Network (COVID-NET) an the Influenza Hospitalization Surveillance network (FluSuv-NET), comprise the Respiratory Virus Hospitalization Surveillance Network (RESP-NET).  The RESP-NET platforms have overlapping surveillance areas and use similar methods to collect data. Because the surveillance areas and age groups included in surveillance have changed over time, trends should be interpreted with caution. RSV-NET is CDC’s source for important data on rates of hospitalizations associated with RSV. Hospitalization rates show how many people in the surveillance area are hospitalized with RSV, compared to the total number of people residing in that area. 

Data are preliminary and subject to change as more data become available. Data will be updated weekly.",12739,93
2025-01-30T23:40:22.000Z,https://data.cdc.gov/d/8hxn-cvik,8hxn-cvik,"Nutrition, Physical Activity, and Obesity - National Immunization Survey (Breastfeeding)","['Data_Value_Footnote', 'Data_Value_Alt', 'Data_Value', 'Datasource', 'LocationDesc', 'YearEnd', 'GeoLocation (zip)', 'QuestionID', 'GeoLocation (state)', 'TopicID', 'GeoLocation (city)', 'ClassID', 'GeoLocation (address)', 'WICParticipation', 'Metropolitan', 'MaritalStatus', 'BirthOrder', 'Data_Value_Type', 'Data_Value_Unit', 'Question', 'Topic', 'Class', 'LocationAbbr', 'YearStart', 'StratificationID1', 'StratificationCategoryId1', 'Stratification1', 'StratificationCategory1', 'LocationID', 'DataValueTypeID', 'GeoLocation', 'Race/Ethnicity', 'Sex', 'Education', 'Age(years)', '%PovertyLevel', 'Total', 'Sample_Size', 'High_Confidence_Limit ', 'Low_Confidence_Limit', 'Data_Value_Footnote_Symbol']",41,"This dataset includes breastfeeding data from the National Immunization Survey (NIS). This data is used for DNPAO's Data, Trends, and Maps database, which provides national and state specific data on obesity, nutrition, physical activity, and breastfeeding. For more information about breastfeeding and NIS visit https://www.cdc.gov/breastfeeding/data/nis_data/index.htm.",12171,27
2025-01-30T22:26:32.000Z,https://data.cdc.gov/d/jz6n-v26y,jz6n-v26y,NOHSS Adult Indicators,"['Year', 'Data_Value_Footnote_Symbol', 'SortUSFirst', 'IndicatorID', 'Break_Out_ID', 'LocationID', 'Break_Out', 'GeoLocation (address)', 'SampleSize', 'Data_Value_Footnote', 'Data_Value', 'Data_Value_Type', 'Response', 'LocationDesc', 'Break_Out_Category', 'GeoLocation', 'Low_Confidence_Interval', 'GeoLocation (city)', 'High_Confidence_Interval', 'Data_Value_Unit', 'GeoLocation (zip)', 'Indicator', 'Category', 'LocationAbbr', 'SortBreakOutID', 'GeoLocation (state)', 'Datasource']",27,"2012-2020 (even years). Data from BRFSS for indicators of adult oral health for even years from 2012 through 2020. National estimates are represented by the median prevalence among 50 states and the District of Columbia data. Estimates are prepared from the BRFSS public use data sets. Estimates in this file are not age adjusted, and may differ slightly from estimates available from the BRFSS web site or Chronic Disease Indicators due to small differences in definition, age adjustment or rounding.  For more information, see: https://www.cdc.gov/oralhealthdata/overview/Adult-Indicators.html.",11626,182
2025-02-19T16:24:54.000Z,https://data.cdc.gov/d/j32a-sa6u,j32a-sa6u,Behavioral Risk Factors: Selected Metropolitan Area Risk Trends (SMART) MMSA Prevalence Data (2011 to Present),"['BreakoutID', 'LocationID', 'Data_value_unit', 'ClassId', 'DataSource', 'QuestionID', 'GeoLocation (city)', 'Break_Out', 'GeoLocation (state)', 'Data_value_type', 'Year', 'Data_Value_Footnote_Symbol', 'TopicId', 'Data_value', 'Class', 'Topic', 'GeoLocation (address)', 'Question', 'Response', 'BreakOutCategoryID', 'Confidence_limit_Low', 'Break_Out_Category', 'Sample_Size', 'GeoLocation (zip)', 'Locationabbr', 'RESPONSEID', 'Data_Value_Footnote', 'Confidence_limit_High', 'GeoLocation', 'Locationdesc', 'Display_order']",31,"2011 to present. BRFSS SMART MMSA Prevalence combined land line and cell phone data. The Selected Metropolitan Area Risk Trends (SMART) project uses the Behavioral Risk Factor Surveillance System (BRFSS) to analyze the data of selected metropolitan statistical areas (MMSAs) with 500 or more respondents. BRFSS data can be used to identify emerging health problems, establish and track health objectives, and develop and evaluate public health policies and programs. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://data.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct",11120,375
2025-01-31T14:48:19.000Z,https://data.cdc.gov/d/57qw-ifet,57qw-ifet,Global Tobacco Surveillance System (GTSS) - Global Youth Tobacco Survey (GYTS),"['Data_Value', 'Indicator', 'Datasource', 'Data_Value_Unit', 'Data_Value_Type', 'Low_Confidence_Limit', 'Country', 'WHO_Region', 'GeoLocation (state)', 'Year', 'DataValueTypeID', 'Sex', 'StratificationID', 'IndicatorID', 'MpowerID', 'TopicID', 'GeoLocation (zip)', 'LocationID', 'SurveySiteAbbr', 'CountryAbbr', 'GeoLocation (city)', 'GeoLocation (address)', 'RegionAbbr', 'GeoLocation', 'Sample_Size', 'High_Confidence_Limit', 'Data_Value_Footnote', 'Data_Value_Footnote_Symbol', 'Mpower', 'Topic', 'SurveySite']",31,"1999-2018. The GYTS is a school-based survey that collects data on students aged 13–15 years using a standardized methodology for constructing the sample frame, selecting schools and classes, and processing data. The GYTS surveillance system is intended to enhance the capacity of countries to design, implement, and evaluate tobacco control and prevention programs. Funding for the GYTS has been provided by the Canadian Public Health Association, National Cancer Institute, United Nations Children Emergency Fund, and the World Health Organization—Tobacco Free Initiative.",10719,34
